Statistic,Computer Science League Table 2025,,,,,,,
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Continuation,Graduate prospects outcomes,Graduate prospects on track,Overall Score",,,,,,,
Note,For latest league table please refer to computer-science. © 2024 Complete University Guide Limited. All rights reserved.,,,,,,,
,,,,,,,,
Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Continuation,Graduate prospects outcomes,Graduate prospects on track,Overall Score
1,University of Cambridge,222,,3.59,98.5,97,90,100
2,University of Oxford,214,3.21,3.81,100,98,93,98
3,Imperial College London,227,3.16,3.93,93.8,97,90,96.6
4,University of St Andrews,216,3.29,3.15,99.3,94,84,93.4
5,University of Warwick,204,3.01,3.75,96,93,86,93.4
6,University of Birmingham,169,3.23,3.77,97.7,96,90,92.9
7,UCL (University College London),208,2.88,3.75,95.1,93,80,92.3
8,University of Bath,196,3.07,3.35,96.6,94,88,92.3
9,Durham University,200,2.84,3.44,96.4,96,88,92
10,"King's College London, University of London",182,2.95,3.56,96.2,97,89,91.6
11,University of Manchester,192,2.96,3.61,95.6,94,84,91.5
12,University of Bristol,186,2.95,3.68,95.8,92,86,91.2
13,University of Sheffield,165,3.1,3.59,99.2,93,86,91.2
14,The University of Edinburgh,220,2.84,3.73,98.4,93,79,91.1
15,University of Southampton,178,2.82,3.59,98.1,91,84,90
16,University of Glasgow,214,2.94,3.61,97.5,94,79,89.9
17,Loughborough University,160,3.2,3.24,96.6,92,86,89.1
18,University of Dundee,177,3.23,3.38,100,91,85,88.9
19,University of Exeter,164,3.08,3,97.3,94,86,88.7
20,University of Leeds,173,2.63,3.62,96.4,88,88,88.2
21,University of York,155,2.69,3.62,96.9,96,86,88.1
22,Queen's University Belfast,154,2.98,3.32,96.2,94,87,88
23,Lancaster University,149,2.92,3.49,97.6,93,84,87.9
24,University of Nottingham,164,3.02,3.5,92.6,89,86,87.7
25,"Royal Holloway, University of London",140,2.96,3.5,97.1,93,85,87.3
26,University of Surrey,135,3.02,3.26,95.1,100,90,87.2
27,Queen Mary University of London,151,3.02,3.65,95.1,83,82,86.6
28,University of Strathclyde,204,3.14,3.21,93.5,88,85,86.5
29,Newcastle University,146,2.83,3.44,96.6,90,85,86.4
30,Aberystwyth University,131,3.35,3.17,95.1,92,80,86.2
31,University of Liverpool,143,3,3.28,95.9,88,85,86
32,Cardiff University,152,2.76,3.41,92.5,93,88,85.9
33,Swansea University,134,3.03,3.22,96.7,88,82,85.3
34,University of Sussex,135,3.11,3.43,92.9,87,85,85.2
35,University of Leicester,133,3.08,3.11,93.4,90,90,84.9
36,University of East Anglia UEA,132,2.85,3.17,93.5,94,93,84.8
37,"City, University of London",134,2.9,3.26,95.8,87,81,84.2
38,University of Aberdeen,167,3.1,3.2,91.9,,,84
39,"Aston University, Birmingham",145,3.01,2.84,92.3,87,89,83.9
40,University of Kent,131,2.93,3.39,94.3,85,77,83.4
41,University of Essex,134,3,3.32,89.2,90,81,83.1
42,Heriot-Watt University,178,2.64,3.14,93.5,90,85,83.1
43,Ulster University,134,3.06,3.12,88.9,87,81,82.3
44,University of Reading,131,2.93,3.07,92.1,84,81,81.8
45,Manchester Metropolitan University,138,3.07,2.75,91.9,84,80,81.1
46,Brunel University London,131,3.14,2.82,90.4,80,79,80.8
47,University of Lincoln,126,2.68,3.15,94.3,84,76,80.8
48,Abertay University,169,3.13,2.74,90.4,80,78,80.1
49,Nottingham Trent University,131,2.99,2.88,93.1,76,77,80
50,"Northumbria University, Newcastle",143,3.05,2.81,84.8,81,84,79.9
51,"Bristol, University of the West of England",133,2.93,2.86,91.1,83,80,79.9
52,University of Portsmouth,130,3.1,2.89,92.4,78,74,79.8
53,University of Plymouth,125,3.09,2.74,86.6,85,83,79.7
54,Edge Hill University,122,2.89,2.5,96.1,80,78,79.6
55,University of Hull,128,3.05,2.89,84.6,84,85,79.5
56,University of Huddersfield,132,2.89,2.74,89.4,84,79,79.5
57,Keele University,117,2.8,2.67,94.5,84,80,79.3
58,Bournemouth University,125,3.01,2.51,91.6,83,80,79.3
